avg_type,id,pos,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,overall_ecr,pos_ecr,sd_ecr,uncertainty,adp,adp_sd,adp_diff,aav,aav_sd,first_name,last_name,team,position,age,exp
average,13116,QB,360.9166666666667,3.923981821228694,8.805999999999983,357.975,364.75199999999995,98.1806666666667,103.5,94.24019999999996,3,1,8,1,1,26.15,1.75,0.9,0.03,15.855,4.188761750207333,-12.855,41.394666666666666,8.326462447455638,Patrick,Mahomes,KCC,QB,28,3
average,14783,QB,352.1106666666667,22.464439484067555,16.380666666666684,331.0652,371.2862,89.37466666666671,76.59019999999998,100.77440000000001,7,7,4,2,2,27.37,2.36,0.93,0.62,22.291666666666668,3.977195061290752,-15.291666666666668,35.886,5.132852877948745,Jalen,Hurts,PHI,QB,25,0
average,13589,QB,335.73,13.44569447815917,20.450666666666677,323.136,347.211,72.99400000000003,68.661,76.69920000000002,16,16,15,3,3,27.22,2.19,0.9,0.28,19.905,3.4689467661909528,-3.905000000000001,36.45266666666667,7.76959035099163,Josh,Allen,BUF,QB,27,2
average,13593,QB,315.27933333333334,8.01044326696927,2.8899999999999864,310.00800000000004,323.1822,52.54333333333335,55.533000000000015,52.67040000000003,24,20,31,4,3,38.84,4.57,1.27,0.13,38.79666666666667,7.677396838917618,-14.796666666666667,29.647333333333336,10.684494726263642,Lamar,Jackson,BAL,QB,26,2
average,14777,QB,312.38933333333335,16.265658343065425,21.370000000000005,296.4638,324.4448,49.653333333333364,41.98879999999997,53.93299999999999,29,34,29,5,4,42.62,5.53,1.12,0.47,37.513333333333335,6.432639858996892,-8.513333333333335,26.07,7.995027621382348,Joe,Burrow,CIN,QB,27,0
average,15238,QB,291.01933333333335,7.207707078768748,0.04200000000003001,283.98900000000003,296.4882,28.28333333333336,29.51400000000001,25.976400000000012,48,47,56,6,4,46.31,5.97,1.39,0.11,49.755,8.874483553048782,-1.7550000000000026,22.699333333333335,8.523149704709457,Justin,Fields,CHI,QB,24,-1
average,13113,QB,290.9773333333333,6.515705743304654,5.911333333333289,286.0272,297.3312,28.24133333333333,31.55219999999997,26.81940000000003,49,44,54,7,5,84.2,10.56,2.5,0.2,79.43833333333333,14.540222850959182,-30.438333333333333,14.904666666666667,8.51951740938939,Deshaun,Watson,CLE,QB,28,3
average,14779,QB,285.06600000000003,7.937429558742554,11.635333333333335,279.62600000000003,292.89020000000005,22.33000000000004,25.15100000000001,22.378400000000056,59,53,60,8,6,45.78,6.12,1.18,0.12,47.303333333333335,10.476259934834673,11.696666666666665,23.880000000000003,11.620166378613806,Justin,Herbert,LAC,QB,25,0
average,10700,QB,273.4306666666667,4.767928411095677,5.880000000000052,269.4552,277.95120000000003,10.694666666666706,14.980199999999968,7.439400000000035,75,65,77,9,7,99.06,12.97,1.97,0.09,101.15666666666667,17.50055300713539,-26.156666666666666,14.342000000000002,9.341928851509559,Kirk,Cousins,MIN,QB,35,8
average,14059,QB,267.55066666666664,11.692965463616718,4.256666666666661,256.0172,275.3942,4.814666666666653,1.5421999999999798,4.882400000000018,82,93,81,10,7,96.95,12.52,2.51,0.42,114.06666666666666,15.440660247829076,-32.06666666666666,11.944666666666668,7.658984498976061,Daniel,Jones,NYG,QB,26,1
